,allele1_PLA_Count_1,allele1_PLA_Count_2,allele1_PLA_Count_3,allele1_PLA_Count_4,allele1_PLA_Count_5,allele1_PLA_Count_6,allele1_PLA_Count_7,allele1_PLA_Count_8,allele1_PLA_Count_9,allele1_PLA_Count_10,allele2_PLA_Count_1,allele2_PLA_Count_2,allele2_PLA_Count_3,allele2_PLA_Count_4,allele2_PLA_Count_5,allele2_PLA_Count_6,allele2_PLA_Count_7,allele2_PLA_Count_8,allele2_PLA_Count_9,allele2_PLA_Count_10
148,2209,348,311,235,4036,1213,926,896,0,0,122,687,3386,979,606,1306,569,583,2608,0
149,532,939,594,1279,1933,1860,408,877,0,0,997,1204,736,2804,1884,874,2886,803,0,0
150,527,338,861,491,823,281,684,356,0,0,357,214,785,541,282,289,537,365,0,0
151,212,158,70,119,413,177,127,115,213,0,278,121,157,190,324,27,242,66,0,0
152,28,65,17,0,0,0,0,0,0,0,40,37,103,99,0,0,0,0,0,0
153,1292,1226,442,404,873,750,500,713,2203,0,520,509,744,308,528,1289,1054,0,0,0
154,1020,599,567,568,1050,1217,959,1674,848,0,742,1409,177,828,333,775,642,880,2650,0
155,389,59,258,477,1591,33,369,48,0,0,454,217,228,392,276,177,471,185,388,0
156,2914,781,2039,3531,733,2007,3342,2577,0,0,1727,3174,1191,1018,1809,1439,2219,1491,0,0
157,1960,1187,588,1111,802,725,931,288,0,0,278,767,481,1504,1416,1282,446,1287,280,0
158,60,251,199,239,174,26,249,191,0,0,123,81,200,219,45,31,75,129,176,0
159,292,359,350,508,941,417,548,0,0,0,375,228,136,681,717,223,154,303,0,0
160,971,1425,893,1592,925,1358,2727,333,0,0,157,1641,2249,466,994,184,94,3450,0,0
161,497,1270,541,1368,1169,1444,483,2298,0,0,109,1594,1264,357,1577,1072,2626,889,0,0
162,424,365,411,198,1199,623,1828,0,0,0,768,232,505,703,759,192,372,421,0,0
163,68,119,1165,248,594,175,602,0,0,0,388,95,166,364,567,358,58,661,196,0
164,43,34,105,104,43,12,0,0,0,0,50,20,88,41,171,0,0,0,0,0
165,542,421,405,184,233,1126,265,448,525,0,441,418,91,836,526,148,438,495,0,0
166,489,1213,1749,550,1010,872,462,606,15,0,177,827,995,1522,989,1043,820,700,358,0
167,143,60,36,71,94,63,0,0,0,0,26,270,256,159,268,434,50,191,0,0
168,107,221,283,95,622,148,78,185,735,0,127,556,186,39,67,173,95,89,0,0
169,2080,1168,2456,2020,2744,1270,2648,969,0,0,1572,1433,1890,853,4071,3077,1543,1523,2109,0
170,21,1851,1925,4167,2857,3239,1488,1789,1116,0,842,1011,1555,1455,1579,4936,2454,1893,1646,0
171,179,10,30,0,0,0,0,0,0,0,78,3428,0,0,0,0,0,0,0,0
172,1032,531,1311,375,1395,1218,409,1716,587,0,734,771,1778,698,520,657,494,0,0,0
173,4374,1145,798,1543,205,1221,693,798,0,0,557,1415,1409,2009,674,1046,614,452,862,0
174,518,478,168,383,446,368,201,193,0,0,337,570,347,2379,639,855,494,922,543,0
175,113,509,830,3987,106,1861,1611,1770,731,0,2612,844,495,622,2612,185,1322,1177,0,0
176,529,386,229,358,432,96,87,578,429,0,259,400,484,228,395,336,331,250,268,0
177,127,292,389,92,236,483,261,11,158,0,126,148,148,83,202,142,1307,146,0,0
178,6207,3515,4788,4315,4717,2945,2693,1841,1289,0,7980,1949,2509,3339,4228,2608,5725,696,2531,0
179,4077,913,2506,2451,3223,3675,0,0,0,0,4004,4328,2232,4048,4061,3508,2481,7400,2685,0
180,219,147,75,494,79,203,456,75,86,0,62,401,481,105,437,261,159,0,0,0
181,48,171,66,237,284,490,49,405,0,0,24,57,195,112,37,148,55,625,70,0
182,672,7739,945,1391,996,401,514,0,0,0,709,1657,1016,930,2374,678,966,475,0,0
183,1208,1063,4016,3061,2106,4443,1807,1274,1714,0,2983,4284,3993,5854,1605,3566,1558,6572,0,0
184,1089,1219,1319,1378,199,1243,1670,1173,1974,0,1943,1873,1030,605,421,1080,2738,1604,2337,0
185,119,333,441,326,371,135,332,191,329,0,74,266,176,533,294,122,187,29,55,0
186,140,340,476,143,393,506,161,0,0,0,280,337,648,395,284,533,388,0,0,0
187,2180,1949,1150,3463,1268,3262,2408,490,0,0,5833,1907,2550,2467,584,2915,1813,1582,1601,0
188,779,1521,270,381,945,603,1100,1677,1090,0,1681,893,5029,704,647,910,576,531,187,0
189,653,966,669,925,800,999,2641,1108,823,0,1848,1189,2671,305,1867,342,1337,1064,0,0
190,5151,14978,5318,4408,4127,5918,6210,5934,4974,0,3820,5260,9801,5627,3603,6118,9129,0,0,0
191,1038,2247,44,749,3162,54,103,4503,67,0,703,1282,1355,1783,1091,96,1639,1383,0,0
192,1793,1056,924,475,1673,1715,1070,378,1173,0,268,724,3295,1608,10,1082,553,1140,646,0
193,1615,3486,1377,1069,1225,1053,1334,567,1715,0,448,653,888,665,1981,2213,2395,1364,0,0
194,5301,1612,3978,2611,6450,7304,9714,2624,2267,0,375,4865,1902,1259,2317,1632,5950,6790,0,0
195,3277,3653,1761,2940,2112,3259,3194,5722,7676,0,1211,2498,2492,3617,2512,1168,3577,1098,2638,0
196,1165,2599,2131,3414,1969,4094,3986,2670,1294,0,908,4647,2012,5039,4355,3176,3342,3430,2462,0
197,54,46,115,87,88,103,54,180,0,0,38,185,68,123,0,0,0,0,0,0
198,372,52,75,132,37,27,0,0,0,0,40,21,757,99,77,467,843,0,0,0
199,140,656,265,665,86,1427,162,0,0,0,189,145,316,975,530,353,92,241,0,0
200,150,63,18,107,118,114,210,141,128,0,90,216,84,293,698,39,109,89,256,0
201,52,1677,105,108,111,0,0,0,0,0,31,11,82,33,0,0,0,0,0,0
